Station,LAT,LONG
jurong east mrt,1.33315281585758,103.742286332403
bukit batok mrt,1.34903331201636,103.749566478309
bukit gombak mrt,1.35861159094192,103.751790910733
choa chu kang mrt,1.38536316540225,103.744370779756
yew tee mrt,1.39753506936297,103.747405150236
kranji mrt,1.42508698073648,103.762137459497
marsiling mrt,1.43252114855026,103.774074641403
woodlands mrt,1.43605761708128,103.787938777173
admiralty mrt,1.44058856161847,103.800990519771
sembawang mrt,1.44905082158502,103.820046140211
canberra mrt,1.44307664075699,103.829702590959
yishun mrt,1.42944308477331,103.835005047246
khatib mrt,1.41738337009565,103.832979908243
yio chu kang mrt,1.38175587099132,103.84494727118
ang mo kio mrt,1.36993284962262,103.84955809232
bishan mrt,1.35131580146658,103.84914026532
braddell mrt,1.3404690010277,103.846799083148
toa payoh mrt,1.33262928096888,103.847502198048
novena mrt,1.32044079120154,103.843825618748
newton mrt,1.3123189224097,103.837984594021
orchard mrt,1.30242224836722,103.823868523249
somerset mrt,1.30026416739006,103.839085753124
dhoby ghaut mrt,1.29870132536119,103.846113677951
city hall mrt,1.29293672227779,103.852585580366
raffles place mrt,1.28393326234538,103.851463066212
marina bay mrt,1.276410298755,103.854595522263
marina south pier mrt,1.27102703612006,103.862447515736
pasir ris mrt,1.37304331635804,103.949284527763
tampines mrt,1.34551530560119,103.938436971222
simei mrt,1.34319707851829,103.953377214378
tanah merah mrt,1.32718729074675,103.946348600798
bedok mrt,1.32040148729112,103.957183823478
kembangan mrt,1.3210381335934,103.912947930851
eunos mrt,1.31978354916088,103.903225807255
paya lebar mrt,1.3172473854035,103.892260753884
aljunied mrt,1.3164326118157,103.882906044385
kallang mrt,1.31148890998818,103.871386541754
lavender mrt,1.30737781747063,103.862767633888
bugis mrt,1.30046508509717,103.855706730933
city hall mrt,1.29293672227779,103.852585580366
raffles place mrt,1.28393326234538,103.851463066212
tanjong pagar mrt,1.27656131737246,103.845725186759
outram park mrt,1.2802415328084,103.840052100136
tiong bahru mrt,1.28610253615775,103.827445112419
redhill mrt,1.28963453412887,103.81674097205
queenstown mrt,1.29455085184931,103.806077155982
commonwealth mrt,1.30250199924325,103.798228523336
buona vista mrt,1.3072237082044,103.790253514502
dover mrt,1.31140529320963,103.778637841909
clementi mrt,1.31511625277378,103.765191452888
jurong east mrt,1.33315281585758,103.742286332403
chinese garden mrt,1.34235282081401,103.732596738363
lakeside mrt,1.34425911493819,103.720949087456
boon lay mrt,1.33860405469845,103.706064622772
pioneer mrt,1.33758701106708,103.697321608474
joo koon mrt,1.3277170408447,103.678374996165
gul circle mrt,1.31947090075208,103.660530461345
tuas crescent mrt,1.32102695598684,103.649078235627
tuas west road mrt,1.32998504653102,103.639616648771
tuas link mrt,1.34088242451105,103.636991425128
expo mrt,1.33538252614956,103.962374747451
changi airport mrt,1.35747897447692,103.98788356959
harbourfront mrt,1.26538938374901,103.821530157095
outram park mrt,1.2802415328084,103.840052100136
chinatown mrt,1.28422391919085,103.845143798953
clarke quay mrt,1.28838602407588,103.846555209694
dhoby ghaut mrt,1.29870132536119,103.846113677951
little india mrt,1.30680019696174,103.849647059738
farrer park mrt,1.31314029963164,103.854754721344
boon keng mrt,1.31933570922514,103.861569454156
potong pasir mrt,1.33137949021368,103.869055656782
woodleigh mrt,1.33919004519388,103.87081830915
serangoon mrt,1.35063361526525,103.872771660431
kovan mrt,1.36017917065237,103.885064856353
hougang mrt,1.37129226620797,103.892380513029
buangkok mrt,1.38287001971672,103.893122569706
sengkang mrt,1.39169462601522,103.895484694279
punggol mrt,1.41492733388605,103.910166388177
dhoby ghaut mrt,1.29870132536119,103.846113677951
bras basah mrt,1.29686168649656,103.850667371637
esplanade mrt,1.2936577245386,103.855081226245
promenade mrt,1.29399798636232,103.860350000188
nicoll highway mrt,1.29976684675139,103.86363696572
stadium mrt,1.3028124684707,103.875337711089
mountbatten mrt,1.30620190525331,103.882528081052
dakota mrt,1.30854798388121,103.889064718377
paya lebar mrt,1.3172473854035,103.892260753884
macpherson mrt,1.32615024457361,103.889298600376
tai seng mrt,1.33514150139202,103.888389300191
bartley mrt,1.34250117805245,103.880177899184
serangoon mrt,1.35063361526525,103.872771660431
lorong chuan mrt,1.35161217074555,103.864151938651
bishan mrt,1.35131580146658,103.84914026532
marymount mrt,1.348707263451,103.839423132332
caldecott mrt,1.33724561271722,103.840161782075
botanic gardens mrt,1.32238699517166,103.815385463093
farrer road mrt,1.31743915158967,103.807379214161
holland village mrt,1.31224029631595,103.796399122407
buona vista mrt,1.3072237082044,103.790253514502
one-north mrt,1.29975987493555,103.78745750525
kent ridge mrt,1.29353349887123,103.784572738173
haw par villa mrt,1.28257135772488,103.781752725064
pasir panjang mrt,1.27621352233766,103.791350313288
labrador park mrt,1.27236838626952,103.803416232089
telok blangah mrt,1.27070647717762,103.809761611219
harbourfront mrt,1.26538938374901,103.821530157095
bayfront mrt,1.28187378879209,103.859079764874
marina bay mrt,1.276410298755,103.854595522263
bukit panjang mrt,1.37900211641036,103.761535114929
cashew mrt,1.36981544925552,103.76443921414
hillview mrt,1.36234486803558,103.767418254007
beauty world mrt,1.34122317558549,103.775794285083
king albert park mrt,1.335893496278,103.783235863233
sixth avenue mrt,1.33085764536226,103.796906838288
tan kah kee mrt,1.32555623519898,103.807760304729
botanic gardens mrt,1.32238699517166,103.815385463093
stevens mrt,1.32006555750626,103.826024401924
newton mrt,1.3123189224097,103.837984594021
little india mrt,1.30680019696174,103.849647059738
rochor mrt,1.30385218527656,103.852769428884
bugis mrt,1.30046508509717,103.855706730933
promenade mrt,1.29399798636232,103.860350000188
bayfront mrt,1.28187378879209,103.859079764874
downtown mrt,1.27944638178916,103.852840829581
telok ayer mrt,1.28206894769394,103.848648781083
chinatown mrt,1.28422391919085,103.845143798953
fort canning mrt,1.29248194822996,103.844331362465
bencoolen mrt,1.29891843369422,103.850353762717
jalan besar mrt,1.3051713878069,103.855295713435
bendemeer mrt,1.31367252847691,103.862977620945
geylang bahru mrt,1.32130110228321,103.871622627142
mattar mrt,1.32687671501334,103.883247509542
macpherson mrt,1.32615024457361,103.889298600376
ubi mrt,1.32997425973974,103.899226655439
kaki bukit mrt,1.33496735995428,103.908459338046
bedok north mrt,1.33474211664091,103.91797832995
bedok reservoir mrt,1.33660782955099,103.932234623286
tampines west mrt,1.34551530560119,103.938436971222
tampines mrt,1.34551530560119,103.938436971222
tampines east mrt,1.35619148271544,103.9546344625
upper changi mrt,1.34173977444995,103.961472788634
expo mrt,1.33538252614956,103.962374747451
woodlands north mrt,1.44829245259621,103.785692682441
woodlands mrt,1.43605761708128,103.787938777173
woodlands south mrt,1.42739605281442,103.79326432221
